epoch,loss,lr
0,110.48421478271484,0.001
1,64.84524536132812,0.001
2,63.48878860473633,0.001
3,62.7039909362793,0.001
4,61.79592514038086,0.001
5,61.5308952331543,0.001
6,60.95106506347656,0.001
7,61.249977111816406,0.001
8,60.978729248046875,0.001
9,60.57918930053711,0.001
10,60.853240966796875,0.001
11,60.436302185058594,0.001
12,60.36339569091797,0.001
13,60.071929931640625,0.001
14,60.21088790893555,0.001
15,59.822261810302734,0.001
16,59.62083435058594,0.001
17,59.62516784667969,0.001
18,59.87382125854492,0.001
19,59.606346130371094,0.001
20,59.516990661621094,0.001
21,59.5670166015625,0.001
22,59.46198654174805,0.001
23,59.505332946777344,0.001
24,59.414306640625,0.001
25,59.57087326049805,0.001
26,59.541255950927734,0.001
27,59.121437072753906,0.001
28,59.025634765625,0.001
29,59.20834732055664,0.001
30,58.93590545654297,0.001
31,59.07454299926758,0.001
32,58.75843811035156,0.001
33,58.77865982055664,0.001
34,58.85491180419922,0.001
35,58.999427795410156,0.001
36,58.66312789916992,0.001
37,58.78297424316406,0.001
38,59.283111572265625,0.001
39,59.11825180053711,0.001
40,58.94721221923828,0.001
41,59.02027893066406,0.001
42,58.1942024230957,0.0005
43,57.464111328125,0.0005
44,57.945709228515625,0.0005
45,58.04778289794922,0.0005
46,58.00210952758789,0.0005
47,58.300445556640625,0.0005
48,57.6337890625,0.0005
49,57.558929443359375,0.00025
50,57.51176834106445,0.00025
51,57.52907943725586,0.00025
52,57.50267791748047,0.00025
53,57.662776947021484,0.00025
54,57.07012939453125,0.000125
55,57.32449722290039,0.000125
56,56.97776794433594,0.000125
57,57.395164489746094,0.000125
58,57.050941467285156,0.000125
59,57.1826286315918,0.000125
60,57.205230712890625,0.000125
61,57.44676971435547,0.000125
62,57.16636657714844,6.25e-05
63,57.12975311279297,6.25e-05
64,57.303245544433594,6.25e-05
65,57.26042175292969,6.25e-05
66,56.7588005065918,6.25e-05
67,57.50643539428711,6.25e-05
68,57.02680206298828,6.25e-05
69,57.16701126098633,6.25e-05
70,57.166114807128906,6.25e-05
71,57.15316390991211,6.25e-05
72,56.87984085083008,3.125e-05
73,57.07008361816406,3.125e-05
74,56.74983215332031,3.125e-05
75,57.27314758300781,3.125e-05
76,57.039608001708984,3.125e-05
77,56.89984130859375,3.125e-05
78,57.04508590698242,3.125e-05
79,57.20302963256836,3.125e-05
80,56.9607048034668,1.5625e-05
81,57.397796630859375,1.5625e-05
82,56.89204788208008,1.5625e-05
83,56.97932052612305,1.5625e-05
84,57.12417984008789,1.5625e-05
85,56.89614486694336,7.8125e-06
86,56.932193756103516,7.8125e-06
87,57.04336166381836,7.8125e-06
88,56.99003219604492,7.8125e-06
89,57.149112701416016,7.8125e-06
