epoch,last_time_step_mse,loss,lr,val_last_time_step_mse,val_loss
0,894.1812133789062,907.99365234375,0.001,825.5543212890625,839.8316040039062
0,900.1007690429688,915.5743408203125,0.001,809.6912841796875,827.851806640625
1,791.3297729492188,801.1478881835938,0.001,675.1128540039062,696.1184692382812
2,639.4627685546875,652.9490356445312,0.001,581.925048828125,598.8348999023438
3,567.86962890625,577.0752563476562,0.001,540.3534545898438,552.4341430664062
4,540.0798950195312,546.2451782226562,0.001,524.0534057617188,533.8927001953125
5,528.9559936523438,533.8428955078125,0.001,518.1836547851562,526.6311645507812
6,526.153076171875,531.4639892578125,0.001,516.0941772460938,524.3179931640625
7,524.2269287109375,527.8250732421875,0.001,516.1362915039062,523.3234252929688
8,523.787109375,526.9968872070312,0.001,514.9324951171875,522.2141723632812
9,505.812255859375,507.1427307128906,0.001,445.12481689453125,454.5322570800781
10,364.105712890625,372.2986755371094,0.001,311.19757080078125,321.3436279296875
11,287.9908447265625,295.55096435546875,0.001,258.5749206542969,266.72784423828125
12,241.46218872070312,248.34458923339844,0.001,220.29722595214844,227.05165100097656
13,206.96177673339844,213.37777709960938,0.001,191.43905639648438,197.19427490234375
14,180.09483337402344,185.99984741210938,0.001,167.34317016601562,172.09725952148438
15,158.17123413085938,163.61239624023438,0.001,148.94508361816406,152.76394653320312
16,140.5935516357422,145.74441528320312,0.001,133.2933807373047,136.4460906982422
17,125.97880554199219,130.71461486816406,0.001,120.69465637207031,123.07778930664062
18,113.86107635498047,118.35977935791016,0.001,110.06444549560547,111.79193115234375
19,103.82035827636719,107.90234375,0.001,101.34327697753906,102.5269546508789
20,95.2149429321289,99.12126922607422,0.001,94.61936950683594,95.21977233886719
21,87.56836700439453,91.26425170898438,0.001,87.25576782226562,87.52210998535156
22,81.01760864257812,84.56812286376953,0.001,80.09160614013672,80.3581771850586
23,74.86962127685547,78.41027069091797,0.001,74.35769653320312,74.72947692871094
24,69.31651306152344,72.79475402832031,0.001,69.66940307617188,69.82691955566406
25,64.48992919921875,67.9908676147461,0.001,64.55683898925781,65.07174682617188
26,60.40148162841797,63.71540069580078,0.001,60.54581832885742,60.795440673828125
27,56.48197937011719,59.69950485229492,0.001,57.2986946105957,57.64491271972656
28,53.64899826049805,56.74042510986328,0.001,54.74790954589844,55.031253814697266
29,51.098228454589844,54.11222839355469,0.001,52.5045051574707,52.47530746459961
30,48.91220474243164,51.73417282104492,0.001,50.51531982421875,50.247074127197266
31,46.794654846191406,49.578426361083984,0.001,48.42509078979492,48.11484909057617
32,45.0695686340332,47.62506866455078,0.001,47.07145690917969,46.639522552490234
33,43.658836364746094,46.1695556640625,0.001,45.54376983642578,45.26923751831055
34,42.40831756591797,44.88227844238281,0.001,45.558860778808594,44.90143966674805
35,41.09511184692383,43.672821044921875,0.001,43.26173400878906,42.79905700683594
36,40.28830337524414,42.859657287597656,0.001,41.95946502685547,41.567893981933594
37,38.80695343017578,41.42424392700195,0.001,42.365692138671875,42.498207092285156
38,38.126617431640625,40.800636291503906,0.001,40.35731887817383,39.91301345825195
39,37.3297233581543,39.9497184753418,0.001,39.60261154174805,39.19696044921875
40,36.63834762573242,39.16555404663086,0.001,39.010623931884766,38.525726318359375
41,36.03947830200195,38.60640335083008,0.001,39.00934600830078,38.469749450683594
42,36.0997200012207,38.35948944091797,0.001,37.93331527709961,37.51160430908203
43,35.175453186035156,37.5709228515625,0.001,37.859642028808594,37.496986389160156
44,34.798683166503906,37.179115295410156,0.001,37.43280029296875,36.91185760498047
45,34.47613525390625,36.81333541870117,0.001,36.912994384765625,36.41914749145508
