epoch,last_time_step_mse,loss,val_last_time_step_mse,val_loss
0,783.4086303710938,869.9917602539062,725.21875,802.7388305664062
1,711.0582885742188,801.6336669921875,655.3218994140625,733.4651489257812
2,657.9454956054688,745.1967163085938,620.4725341796875,694.8824462890625
3,627.679931640625,710.9522094726562,599.295166015625,671.119873046875
4,610.3667602539062,691.03564453125,587.7907104492188,657.8248291015625
5,600.6353149414062,679.5145874023438,580.72412109375,649.5048217773438
6,594.0923461914062,671.5301513671875,575.3734130859375,643.1968994140625
7,588.8252563476562,665.3034057617188,570.636962890625,637.6348876953125
8,584.2451171875,659.6456298828125,566.3875732421875,632.6277465820312
9,580.1306762695312,654.60693359375,562.8875122070312,628.4293212890625
10,576.5938110351562,650.3969116210938,560.0066528320312,624.895751953125
11,573.7332153320312,646.7706909179688,557.53173828125,621.791015625
12,571.2533569335938,643.500732421875,555.4033203125,619.0419921875
13,569.2498168945312,640.7006225585938,553.5377807617188,616.5194702148438
14,567.304931640625,637.965087890625,551.7337646484375,613.7680053710938
15,564.5748901367188,634.17041015625,547.14697265625,608.115478515625
16,559.7379760742188,628.4786376953125,540.6309204101562,601.3468017578125
17,551.2323608398438,624.2022094726562,532.8790893554688,599.352783203125
18,546.1357421875,622.1458129882812,529.12060546875,594.6727294921875
19,543.1224975585938,614.6529541015625,527.635986328125,588.4686279296875
20,541.20703125,609.2994384765625,525.0449829101562,585.2564086914062
21,536.8326416015625,604.3765869140625,519.2762451171875,579.0697631835938
22,529.5805053710938,597.2070922851562,508.53424072265625,568.6708984375
23,518.0913696289062,585.9019775390625,492.1812438964844,552.8966064453125
24,503.4523620605469,571.876708984375,479.826416015625,541.1857299804688
25,487.31768798828125,555.9600219726562,460.4151916503906,521.383056640625
26,468.7528076171875,537.4860229492188,449.11907958984375,509.9224853515625
27,460.5985412597656,528.5374145507812,442.9568786621094,502.4883117675781
28,453.9867248535156,521.3569946289062,435.92791748046875,495.28411865234375
29,447.770263671875,514.2462768554688,431.2742614746094,489.43157958984375
30,442.94451904296875,508.3912048339844,427.1254577636719,484.3703918457031
31,438.6544494628906,503.1190185546875,422.9984436035156,479.4237365722656
32,434.5487976074219,498.0520324707031,419.2845458984375,474.9190673828125
33,430.74688720703125,493.4466247558594,415.90350341796875,470.79327392578125
34,427.3095703125,489.1621398925781,412.81512451171875,466.9966125488281
35,424.1015930175781,485.1220397949219,409.8690490722656,463.386474609375
36,421.17724609375,481.4241027832031,406.71539306640625,459.91778564453125
37,418.4559020996094,478.0832824707031,404.3530578613281,456.9471435546875
38,416.0010070800781,474.9431457519531,402.22601318359375,454.2455139160156
39,413.8736572265625,472.1586608886719,400.2884826660156,451.75848388671875
40,411.559814453125,469.401123046875,398.1976623535156,449.3195495605469
41,409.61431884765625,466.9007263183594,396.608642578125,447.2362365722656
42,407.94085693359375,464.6924133300781,395.1737365722656,445.32470703125
43,406.52227783203125,462.7046203613281,393.859619140625,443.5484924316406
44,405.1209716796875,460.79559326171875,392.69049072265625,441.9403381347656
45,403.96875,459.0885314941406,391.6319274902344,440.456787109375
46,402.7957458496094,457.4679260253906,390.69049072265625,439.11077880859375
47,401.8722229003906,456.0211181640625,389.8388366699219,437.86566162109375
48,400.92022705078125,454.669921875,389.07574462890625,436.7247314453125
