epoch,loss,val_loss
0,862.9144287109375,776.2523803710938
1,843.187744140625,755.783447265625
2,819.8270874023438,729.0463256835938
3,788.6405639648438,693.3221435546875
4,746.6275024414062,647.7886352539062
5,694.8594360351562,594.3720703125
6,635.3057250976562,540.377685546875
7,579.9332275390625,495.7652587890625
8,535.87646484375,466.0964660644531
9,502.39105224609375,442.521240234375
10,475.0579528808594,417.3638916015625
11,446.1248474121094,392.3594055175781
12,420.6475524902344,369.1097412109375
13,394.0149230957031,347.2677307128906
14,373.1281433105469,326.7529602050781
15,349.2120361328125,307.4737243652344
16,326.91949462890625,289.1520080566406
17,307.6506042480469,272.3650207519531
18,289.78155517578125,257.6012268066406
19,274.2984313964844,244.368408203125
20,258.7999572753906,233.46682739257812
21,249.64683532714844,224.36228942871094
22,236.8121795654297,216.77879333496094
23,229.82411193847656,210.28285217285156
24,222.8804931640625,204.93905639648438
25,219.36671447753906,200.3671112060547
26,213.437744140625,196.46597290039062
27,207.9186553955078,193.17959594726562
28,203.58575439453125,189.63116455078125
29,199.0641632080078,186.31704711914062
30,199.7156982421875,183.0401153564453
31,193.5722198486328,179.77560424804688
32,189.54812622070312,176.7859649658203
33,188.6959228515625,174.4830780029297
34,184.5428466796875,171.8916473388672
35,181.0697784423828,169.2184295654297
36,181.1866455078125,166.9390411376953
37,176.7879180908203,164.88856506347656
38,174.9647979736328,162.63943481445312
39,172.84165954589844,160.9300994873047
40,170.58544921875,158.8053436279297
41,167.29937744140625,156.56983947753906
42,165.50254821777344,154.2780303955078
43,163.35740661621094,152.55996704101562
44,164.01414489746094,151.6646270751953
45,159.77452087402344,150.09024047851562
46,160.12252807617188,148.92286682128906
47,157.00869750976562,148.35911560058594
48,155.6057586669922,146.04608154296875
49,154.03912353515625,144.6541290283203
50,152.62037658691406,143.7253875732422
51,150.40216064453125,142.6648712158203
52,152.13787841796875,141.6651153564453
53,149.72288513183594,140.9383544921875
54,148.1649169921875,140.0487518310547
55,149.13063049316406,138.8074493408203
56,148.1456298828125,137.71853637695312
57,146.0640106201172,136.7978057861328
58,144.18206787109375,135.9457244873047
59,143.55599975585938,135.36941528320312
60,144.5068359375,134.83038330078125
61,143.5135955810547,133.94737243652344
62,141.73606872558594,133.2535858154297
63,141.1953887939453,132.36819458007812
64,138.45416259765625,131.98387145996094
65,139.00575256347656,131.45571899414062
66,137.6746826171875,131.3690185546875
67,139.9394073486328,130.47186279296875
68,138.7930908203125,129.78616333007812
69,135.37161254882812,129.12403869628906
70,137.61325073242188,129.0727996826172
71,136.6746063232422,127.52703857421875
72,136.0906524658203,127.0888442993164
73,132.8542022705078,127.13838958740234
74,135.5166473388672,126.58470153808594
75,132.38392639160156,126.04701232910156
76,134.39158630371094,125.46530151367188
77,131.86727905273438,125.7803955078125
78,130.10279846191406,125.03286743164062
79,129.35733032226562,124.23638916015625
80,129.90875244140625,124.09119415283203
81,129.43516540527344,123.37438201904297
82,127.47508239746094,122.7364273071289
83,129.0523681640625,122.13182830810547
84,126.8865966796875,121.69843292236328
85,128.83111572265625,121.6146469116211
86,128.34622192382812,121.55078887939453
87,124.48336791992188,120.8489761352539
88,125.58871459960938,120.51724243164062
89,124.5107192993164,120.1137924194336
90,124.08612823486328,119.72909545898438
91,122.50910186767578,119.02568054199219
92,126.01847076416016,118.41197967529297
93,124.43170166015625,118.25346374511719
94,123.0251235961914,117.94635772705078
95,123.52530670166016,118.13816833496094
96,122.4538345336914,117.9102783203125
97,122.90765380859375,118.30509948730469
98,122.06168365478516,117.34385681152344
99,122.2962875366211,117.02821350097656
100,121.73704528808594,116.59410858154297
101,120.55014038085938,116.45387268066406
102,121.74039459228516,116.04684448242188
103,119.78675842285156,116.15274047851562
104,121.7551498413086,115.10497283935547
