epoch,loss
0,105.7738037109375
1,63.47538375854492
2,62.10769271850586
3,61.103919982910156
4,60.75837326049805
5,60.31669235229492
6,59.69356155395508
7,59.73456573486328
8,59.46915817260742
9,59.11884307861328
10,58.98533630371094
11,58.665313720703125
12,59.14142608642578
13,58.949798583984375
14,58.71765899658203
15,58.614566802978516
16,58.764739990234375
17,58.285369873046875
18,58.55723571777344
19,58.27105712890625
20,58.12138366699219
21,58.02935791015625
22,58.28864669799805
23,58.1345100402832
24,57.961788177490234
25,57.95132827758789
26,57.636470794677734
27,57.77595138549805
28,57.93817901611328
29,57.791011810302734
30,57.4378776550293
31,57.63969039916992
32,57.67237091064453
33,57.8575325012207
34,57.46458053588867
35,57.54326629638672
36,57.458106994628906
37,57.529693603515625
38,57.57102966308594
39,57.254207611083984
40,57.44461441040039
41,57.43579864501953
42,57.500614166259766
43,57.396602630615234
44,57.56305694580078
45,57.36350631713867
46,57.16180419921875
47,57.307743072509766
48,57.304222106933594
49,57.31637954711914
50,57.48732376098633
51,57.006370544433594
52,57.28159713745117
53,57.16773986816406
54,57.3399543762207
55,57.191715240478516
56,57.08946990966797
57,57.278167724609375
58,57.250755310058594
59,56.904659271240234
60,57.17551803588867
61,57.11621856689453
62,57.29063415527344
63,57.06640625
64,57.225364685058594
65,56.803993225097656
66,57.05900573730469
67,56.91368103027344
68,57.33576202392578
69,57.025474548339844
70,56.93776321411133
71,57.06578826904297
72,56.98691177368164
73,57.107627868652344
74,57.155113220214844
75,57.001956939697266
76,56.8842658996582
77,57.14870071411133
78,57.02217102050781
79,57.0642204284668
80,56.44194030761719
81,57.344364166259766
82,57.08647537231445
83,56.94154739379883
84,56.72365188598633
85,56.684600830078125
86,57.06705093383789
87,56.9664306640625
88,56.87702178955078
89,57.01756286621094
90,56.780723571777344
91,56.751651763916016
92,56.86963653564453
93,57.12149429321289
94,56.83949279785156
95,57.23366928100586
