epoch,last_time_step_mse,loss,lr,val_last_time_step_mse,val_loss
0,781.1139526367188,868.01904296875,0.001,724.0259399414062,829.890625
1,702.0269165039062,792.9581298828125,0.001,656.5777587890625,761.6375122070312
2,649.283447265625,735.94482421875,0.001,616.1453247070312,717.7894897460938
3,614.3314819335938,697.0177612304688,0.001,589.8839111328125,688.7047729492188
4,593.7796630859375,673.2471923828125,0.001,576.6475830078125,673.3309936523438
5,583.6619262695312,660.87451171875,0.001,569.7017211914062,664.8901977539062
6,578.0911254882812,653.7401123046875,0.001,565.3192749023438,659.4136352539062
7,574.2545166015625,648.707763671875,0.001,562.0609741210938,655.2802124023438
8,571.3589477539062,644.7701416015625,0.001,559.3911743164062,651.8483276367188
9,568.8252563476562,641.4291381835938,0.001,557.1571044921875,648.9169921875
10,566.9003295898438,638.602783203125,0.001,555.21630859375,646.3023071289062
11,565.1803588867188,636.0554809570312,0.001,553.560791015625,643.97265625
12,563.6693115234375,633.69677734375,0.001,552.2112426757812,641.8863525390625
13,561.9426879882812,630.9146728515625,0.001,546.7733154296875,635.0601806640625
14,554.8095092773438,622.259033203125,0.001,539.65576171875,629.9636840820312
15,548.70849609375,620.2003784179688,0.001,529.9150390625,622.4133911132812
16,537.718017578125,607.3601684570312,0.001,523.227294921875,612.658203125
17,532.2000732421875,600.530029296875,0.001,518.9500122070312,607.7990112304688
18,525.3798828125,593.4703369140625,0.001,510.3887634277344,598.5474243164062
19,519.121337890625,586.7772216796875,0.001,506.2310791015625,592.6032104492188
20,511.7145690917969,578.3040771484375,0.001,491.80059814453125,578.8555297851562
21,491.1412353515625,558.3934936523438,0.001,457.60491943359375,545.9886474609375
22,464.2235412597656,532.5809936523438,0.001,450.91705322265625,535.8194580078125
23,463.0127868652344,528.27392578125,0.001,442.6292724609375,528.401123046875
24,449.42547607421875,517.0001220703125,0.001,433.2955627441406,519.55712890625
25,443.4248046875,509.9987487792969,0.001,427.9920349121094,513.2755126953125
26,438.6662292480469,504.14715576171875,0.001,423.11407470703125,507.74932861328125
27,434.3532409667969,498.8092956542969,0.001,418.88458251953125,502.5149230957031
28,430.3880310058594,493.88177490234375,0.001,414.7449035644531,497.671142578125
29,426.7558288574219,489.3304443359375,0.001,411.22760009765625,493.4527282714844
30,423.52227783203125,485.2181701660156,0.001,407.8416442871094,489.37286376953125
31,420.3226318359375,481.34979248046875,0.001,404.8310241699219,485.714599609375
32,417.4117431640625,477.87872314453125,0.001,402.0958557128906,482.36700439453125
33,414.80474853515625,474.6043701171875,0.001,399.62432861328125,479.3119201660156
34,412.4878234863281,471.6444091796875,0.001,397.38299560546875,476.5155334472656
35,410.42462158203125,468.9989013671875,0.001,395.3305358886719,473.927001953125
36,408.697998046875,466.5646667480469,0.001,393.4625549316406,471.5418395996094
