epoch,last_time_step_mse,loss,val_last_time_step_mse,val_loss
0,899.7750854492188,914.1151733398438,824.1602172851562,841.3740234375
1,807.2421264648438,816.03173828125,797.103515625,809.8272094726562
2,760.9337158203125,770.1616821289062,648.1461791992188,665.8825073242188
3,625.445068359375,633.9495849609375,599.8363037109375,612.8414306640625
4,557.5578002929688,566.03662109375,541.9296264648438,550.320556640625
5,532.5712280273438,537.5938110351562,530.6968383789062,536.9866333007812
6,526.0191040039062,529.8004150390625,527.7111206054688,532.6895751953125
7,524.0731201171875,527.0706787109375,526.8247680664062,530.2286987304688
8,444.3990478515625,449.77716064453125,361.225341796875,370.7796936035156
9,324.482421875,331.0514221191406,295.48065185546875,303.8221435546875
10,270.78057861328125,277.0506286621094,251.14096069335938,258.70343017578125
11,230.84507751464844,236.7423095703125,214.01492309570312,220.79750061035156
12,196.73306274414062,202.51365661621094,185.5619659423828,191.32176208496094
13,170.93460083007812,176.6599884033203,161.3689727783203,166.6645050048828
14,149.2978515625,155.08181762695312,142.946533203125,147.577880859375
15,132.43417358398438,138.130859375,127.87801361083984,131.92404174804688
16,120.85018920898438,125.9477767944336,116.26616668701172,120.81719207763672
17,106.44014739990234,111.24720764160156,102.05742645263672,105.40796661376953
18,94.42145538330078,99.18627166748047,92.24517059326172,95.2754135131836
19,84.66905975341797,89.75992584228516,83.31959533691406,86.28166961669922
20,76.64350128173828,81.71542358398438,76.08916473388672,78.85648345947266
21,69.88236236572266,74.85449981689453,69.74662017822266,72.3587417602539
22,63.91400909423828,68.83465576171875,64.51950073242188,66.74946594238281
23,58.8969612121582,63.69931411743164,59.6430549621582,61.98072052001953
24,54.8625602722168,59.41636276245117,55.94329071044922,58.144107818603516
25,51.0339469909668,55.56311798095703,52.20229721069336,54.36544418334961
26,47.807743072509766,52.243839263916016,49.248802185058594,51.26807403564453
27,45.063270568847656,49.4734992980957,46.137718200683594,48.36031723022461
28,42.98697280883789,47.189144134521484,44.38444137573242,46.77841567993164
29,40.43818283081055,44.67884063720703,42.24966049194336,44.26322555541992
30,38.43407440185547,42.666709899902344,40.287086486816406,42.37458419799805
31,36.68855667114258,40.891117095947266,38.186195373535156,40.54670715332031
32,35.16748046875,39.29783248901367,37.2130241394043,39.64885330200195
33,33.68383026123047,37.86825180053711,35.77315902709961,37.78826141357422
34,32.45849609375,36.54928207397461,34.32716751098633,36.47100067138672
35,31.372220993041992,35.42542266845703,33.02627182006836,35.21335220336914
36,30.349891662597656,34.43445587158203,32.051719665527344,34.11760711669922
37,29.433448791503906,33.401344299316406,31.516828536987305,33.556556701660156
38,28.47419548034668,32.526859283447266,30.486120223999023,32.544761657714844
39,27.61870574951172,31.615842819213867,29.60922622680664,31.730527877807617
40,26.9785213470459,30.96908187866211,28.91969871520996,30.975130081176758
41,26.50680160522461,30.456693649291992,28.368040084838867,30.419239044189453
42,25.766952514648438,29.671688079833984,27.600826263427734,29.730215072631836
43,25.266895294189453,29.222152709960938,27.313236236572266,29.493457794189453
44,24.72621726989746,28.688623428344727,26.752702713012695,28.90489387512207
45,24.32496452331543,28.21949005126953,26.037151336669922,28.145963668823242
46,23.656047821044922,27.56174659729004,25.385711669921875,27.471872329711914
47,23.118337631225586,26.998409271240234,25.170778274536133,27.21066665649414
48,22.77618408203125,26.65418243408203,24.61568832397461,26.67430305480957
49,22.26626205444336,26.180356979370117,24.094341278076172,26.1873722076416
50,21.804988861083984,25.66718101501465,23.687105178833008,25.874433517456055
51,21.301496505737305,25.193561553955078,23.237314224243164,25.324962615966797
52,20.892736434936523,24.82112693786621,22.730287551879883,24.84128761291504
53,20.452733993530273,24.34125518798828,22.46830940246582,24.66155242919922
54,20.065631866455078,23.95334243774414,21.927589416503906,24.197010040283203
55,19.698055267333984,23.661623001098633,21.756271362304688,23.95452880859375
56,19.249752044677734,23.183971405029297,21.243154525756836,23.416444778442383
57,19.009078979492188,22.969560623168945,20.798744201660156,22.978641510009766
58,18.496366500854492,22.448179244995117,20.448530197143555,22.58797264099121
59,18.170040130615234,22.129249572753906,20.075593948364258,22.224401473999023
60,17.82413673400879,21.79735565185547,19.742277145385742,21.973159790039062
61,17.486370086669922,21.4774112701416,19.884075164794922,22.036502838134766
62,17.390377044677734,21.35986328125,19.202791213989258,21.443994522094727
63,16.78257179260254,20.808202743530273,18.624889373779297,20.889509201049805
64,16.416994094848633,20.463151931762695,18.517974853515625,20.78757095336914
65,16.130596160888672,20.145320892333984,17.93572998046875,20.268402099609375
66,15.71149730682373,19.745893478393555,17.59577751159668,19.962827682495117
67,15.412933349609375,19.48978614807129,17.179420471191406,19.59268569946289
68,15.126372337341309,19.17551612854004,16.875450134277344,19.2891902923584
69,14.967094421386719,19.028465270996094,17.14537811279297,19.487430572509766
70,14.484956741333008,18.58742904663086,17.46338653564453,19.679262161254883
71,14.345132827758789,18.405799865722656,16.09813117980957,18.516828536987305
72,13.933018684387207,18.017471313476562,15.795489311218262,18.215486526489258
73,13.715643882751465,17.864009857177734,15.651627540588379,18.005733489990234
74,13.38033390045166,17.503555297851562,15.185925483703613,17.739099502563477
75,12.99166488647461,17.178241729736328,14.726339340209961,17.22876739501953
76,12.708955764770508,16.930334091186523,14.584229469299316,16.99732780456543
77,12.446249008178711,16.671295166015625,14.245296478271484,16.80768394470215
78,12.108898162841797,16.342941284179688,14.076684951782227,16.632009506225586
79,11.894874572753906,16.134862899780273,13.617837905883789,16.09260368347168
80,11.556268692016602,15.807332992553711,13.383663177490234,15.884413719177246
81,11.3114013671875,15.593511581420898,13.71362018585205,16.058530807495117
82,11.057621002197266,15.314939498901367,12.785160064697266,15.313724517822266
83,10.770421028137207,15.068048477172852,12.511048316955566,15.071699142456055
84,10.471670150756836,14.775699615478516,12.357805252075195,14.95669937133789
85,10.218999862670898,14.528721809387207,12.196099281311035,14.732118606567383
86,10.095755577087402,14.408259391784668,11.795121192932129,14.382367134094238
87,9.779836654663086,14.123340606689453,11.470067024230957,14.079802513122559
88,9.506903648376465,13.863569259643555,11.385824203491211,13.966917037963867
