epoch,loss
0,624.3226318359375
1,122.69125366210938
2,97.58197784423828
3,85.44317626953125
4,77.91036987304688
5,71.90773010253906
6,68.26436614990234
7,66.11029815673828
8,64.24959564208984
9,63.24647521972656
10,62.5496826171875
11,62.05583190917969
12,61.40529251098633
13,61.35142517089844
14,61.0788688659668
15,61.338035583496094
16,60.3397216796875
17,60.54920196533203
18,60.20066833496094
19,60.37539291381836
20,60.0135612487793
21,59.74210739135742
22,59.77898025512695
23,59.6225471496582
24,59.985374450683594
25,59.58287811279297
26,59.53731155395508
27,59.78670120239258
28,59.225341796875
29,59.38785934448242
30,59.49008560180664
31,59.2138671875
32,59.06200408935547
33,59.4022331237793
34,59.35983657836914
35,59.25094985961914
36,59.3582878112793
37,59.18779754638672
38,58.99645233154297
39,58.8663444519043
40,58.77985382080078
41,59.070045471191406
42,58.39187240600586
43,58.93748092651367
44,58.883174896240234
45,58.79872131347656
46,58.397098541259766
47,58.410484313964844
48,58.83464431762695
49,58.426578521728516
50,58.77851867675781
51,58.79581069946289
52,58.54991912841797
53,58.40687942504883
54,58.46036911010742
55,58.5020751953125
56,58.50319290161133
57,58.649444580078125
