epoch,loss,lr
0,107.77342987060547,0.001
1,65.081298828125,0.001
2,62.836830139160156,0.001
3,62.479461669921875,0.001
4,61.65150833129883,0.001
5,61.34054183959961,0.001
6,60.920074462890625,0.001
7,61.011573791503906,0.001
8,60.66957473754883,0.001
9,60.61416244506836,0.001
10,60.446868896484375,0.001
11,60.27616882324219,0.001
12,60.275306701660156,0.001
13,60.01417541503906,0.001
14,59.737308502197266,0.001
15,59.79903030395508,0.001
16,59.909645080566406,0.001
17,59.39136505126953,0.001
18,59.455692291259766,0.001
19,59.370174407958984,0.001
20,59.336795806884766,0.001
21,59.327430725097656,0.001
22,59.209049224853516,0.001
23,59.45289611816406,0.001
24,59.13025665283203,0.001
25,59.295013427734375,0.001
26,59.06821823120117,0.001
27,58.70404052734375,0.001
28,58.59583282470703,0.001
29,58.94567108154297,0.001
30,59.03395080566406,0.001
31,58.78619384765625,0.001
32,58.70100021362305,0.001
33,58.814666748046875,0.001
34,58.091861724853516,0.0005
35,57.990440368652344,0.0005
36,57.96295928955078,0.0005
37,57.627742767333984,0.0005
38,57.438533782958984,0.0005
39,57.892608642578125,0.0005
40,57.52540588378906,0.0005
41,58.23113250732422,0.0005
42,57.73991775512695,0.0005
43,57.665523529052734,0.0005
44,57.22731018066406,0.00025
45,57.00548553466797,0.00025
46,57.09113693237305,0.00025
47,57.283668518066406,0.00025
48,57.428443908691406,0.00025
49,56.958614349365234,0.00025
